mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.14305702845255533,0.005615905259480573,0.04248587290445963,0.003311259892674407,5,5,50,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.42314640573916107,-0.44597062088553024,-0.4132831796801552,-0.42746673543494884,0.013689804957192091,4
0.2912420431772868,0.008100822187266333,0.0534666379292806,0.003375712649104645,5,5,100,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.4214326368681611,-0.4457058894635734,-0.414865767649992,-0.4273347646605756,0.013264102249496017,3
0.6212913195292155,0.01826540745218775,0.10215163230895996,0.013222124054415207,5,5,200,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4219239346559664,-0.4441988460382743,-0.41399910598959755,-0.4267072955612794,0.012784534430703647,2
0.15803098678588867,0.001696961718182147,0.047716776529947914,0.0038548661412167594,10,1,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.4514374847436481,-0.46015978476862035,-0.42369060420127086,-0.4450959579045131,0.015549094395968048,26
0.31665786107381183,0.002648419672051518,0.05948932965596517,0.01252272251787053,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.44397063681030285,-0.45276464838716607,-0.4248627104030902,-0.44053266520018636,0.01164743955871215,23
0.701535701751709,0.021419713837964965,0.10023458798726399,0.006007917494776705,10,1,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.4395716764492704,-0.4519149258685992,-0.42640125616700036,-0.43929595282829,0.01041773657588972,21
0.153580109278361,0.003222067175632788,0.05254062016805013,0.01963382105263207,10,3,50,"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.4362171485152428,-0.4608352887993789,-0.41927078128851314,-0.43877440620104496,0.017064714985585507,20
0.34003957112630206,0.011807321613037575,0.0716100533803304,0.0049536596906057054,10,3,100,"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.4308258560517909,-0.4567237576749448,-0.419686107966564,-0.43574524056443326,0.015515521947769983,18
0.7038360436757406,0.019230769080587948,0.10537656148274739,0.009596278899862217,10,3,200,"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.4270504517205824,-0.45266571825721397,-0.42295643110960834,-0.4342242003624683,0.013146797782158213,16
0.16741514205932617,0.015946914608774322,0.04335308074951172,0.002723445031421931,10,5,50,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4261082413771277,-0.45172666405895995,-0.41742497546649765,-0.43175329363419507,0.014561396941052296,13
0.34941824277242023,0.0168083798348621,0.06863641738891602,0.0032889453513012578,10,5,100,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.4235855214722584,-0.4535206478493692,-0.4160676001548095,-0.43105792315881236,0.01617735630702478,11
0.650374968846639,0.06092270663528552,0.0797268549601237,0.0014776109024347002,10,5,200,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4240427354564605,-0.45012132045471054,-0.4181824860176959,-0.43078218064295565,0.013882540050127411,9
